manuscript_id,matches
F1641B,['F1641D']
J1362,['F1396A']
J1721,['F1754A']
F157A,['J103']
J1229,['F1183D']
F167A,['J176']
J1665,['F1704A']
F1609A,['P96-17']
J678,['F482C']
F794B,['J890']
J1671,['F1707A']
J81,['F82B']
J1216,['F1294A']
J1659,['F1702A']
F1279D,['J1293']
F509A,['J1710']
J511,['F356A']
F1141A,['J1154']
J1014,['F1024A']
F945A,['J842']
F955A,['J850']
J1000,['F1015A']
F1145A,['J1145']
F91A,['J141']
J1068,['F895D', 'F895C']
J176,['F167A']
F1106A,['J1077']
F974B,['J1114']
J812,['F962B']
F1111A,['J865']
J1465,['F1484C']
F1716A,['J1683']
F1377A,['J1340']
F1275C,['F1275B']
F1722A,['J1673']
J1471,['F1505A']
J1459,['F1487B', 'F1487C']
F1751A,['J1717']
F1396A,['J1362']
F1765A,['J1747']
J1242,['F1343A']
F1739A,['J1655']
J1619,['F1647B']
F1255A,['J1217']
J1618,['F1637A.2']
F1740A,['J1703']
F1386D,['F1386C']
F1685A,['J1647']
J1584,['F1625A']
F1766A,['J1749']
F1752A,['J1719']
F1395B,['F1395A']
J1458,['F1498A']
F1383C,['F1383D']
F1721A,['J1656']
F1369B,['F1369C']
J1470,['F1504B']
F1715A,['J1651']
J1055,['F1017A']
J813,['F1090B']
F1115A,['J946']
J177,['F168A']
F1105A,['J1098']
P96-18,['F1774A', 'J1711', 'J1711']
F1559A,['J1521']
F92A,['J134']
P90-50,['F236A']
F1588A,['J1558']
J838,['F939A']
J1001,['F1001A']
F1144A,['J1119']
J853,['F961A']
F1140A,['J1173']
J989,['F1120C']
F192B,['J984']
J110,['F111A']
J1217,['F1255A']
J1670,['F1742A']
J1664,['F1708A']
J1418,['F1441B']
F168A,['J177']
J123,['F107A']
J1228,['F1240A']
J136,['P90-35', 'F94A']
J121,['F120A']
F1416A,['F1416B']
J134,['F92A']
F170A,['J172']
J1672,['F1698A']
J84,['F121A']
J1189,['F1207A']
J1201,['F1271A']
F1281A,['J1253']
F1278C,['F1278B', 'J1272']
J1215,['F1167A']
F1481A,['F1481B']
F1484C,['J1465']
J1003,['F1003A']
J1017,['F1027A']
J851,['F957A']
P96-6,['J1212']
F995B,['J985']
F501B,['P91-79']
F972B,['J823']
J149,['F159A']
J1043,['F1000A']
J1625,['F1649A']
J1472,['F1491A']
F1370A,['J1341']
F1723A,['J1653']
F1717A,['J1661']
F226B,['F226A']
F1768A,['J1751']
J1269,['F1217A']
F1247A,['J1175']
F1386B,['F1386A']
F1394B,['F1394A']
F1754A,['J1721']
F819C,['J815']
F1710A,['J1667']
F1257B,['J1211']
F1709A,['J1693']
J1240,['F1291A']
F819D,['F819E']
J1254,['F1288B']
F1395A,['F1395B']
F1753A,['J1720']
