edition_name,chapter,variance_from_sentence_consensus__by_chapter,variance_from_word_consensus__by_chapter
2011-05-03-HuckFinn.json,1,0.0,-0.0069767441860465115
2011-05-03-HuckFinn.json,2,0.0,-0.01726844583987441
2011-05-03-HuckFinn.json,3,0.0,-0.008547008547008548
2011-05-03-HuckFinn.json,4,0.0,-0.01662971175166297
2011-05-03-HuckFinn.json,5,0.0,-0.0455531453362256
2011-05-03-HuckFinn.json,6,0.0,-0.036532951289398284
2011-05-03-HuckFinn.json,7,0.0,-0.017996870109546165
2011-05-03-HuckFinn.json,8,0.0,-0.022610483042137718
2011-05-03-HuckFinn.json,9,0.0,-0.015444015444015444
2011-05-03-HuckFinn.json,10,0.0,0.0
2011-05-03-HuckFinn.json,11,0.0,-0.012354651162790697
2011-05-03-HuckFinn.json,12,0.0,-0.021546261089987327
2011-05-03-HuckFinn.json,13,0.0,-0.019469026548672566
2011-05-03-HuckFinn.json,14,0.02040816326530612,-0.03070175438596491
2011-05-03-HuckFinn.json,15,0.0,-0.0352
2011-05-03-HuckFinn.json,16,0.0,-0.04057428214731586
2011-05-03-HuckFinn.json,17,0.0,-0.02038369304556355
2011-05-03-HuckFinn.json,18,0.0,-0.04247104247104247
2011-05-03-HuckFinn.json,19,0.0,-0.042725173210161664
2011-05-03-HuckFinn.json,20,0.0,-0.03035143769968051
2011-05-03-HuckFinn.json,21,0.0,-0.0810546875
2011-05-03-HuckFinn.json,22,0.0,-0.05362776025236593
2011-05-03-HuckFinn.json,23,0.0,-0.01032448377581121
2011-05-03-HuckFinn.json,24,0.0,-0.018018018018018018
2011-05-03-HuckFinn.json,25,0.0,-0.01235370611183355
2011-05-03-HuckFinn.json,26,0.0,-0.022288261515601784
2011-05-03-HuckFinn.json,27,0.0,-0.02014388489208633
2011-05-03-HuckFinn.json,28,0.0,-0.033783783783783786
2011-05-03-HuckFinn.json,29,0.0,-0.022300469483568074
2011-05-03-HuckFinn.json,30,0.0,-0.015463917525773196
2011-05-03-HuckFinn.json,31,0.0,-0.022727272727272728
2011-05-03-HuckFinn.json,32,0.0,-0.018633540372670808
2011-05-03-HuckFinn.json,33,0.0,-0.011869436201780416
2011-05-03-HuckFinn.json,34,0.0,-0.009369676320272573
2011-05-03-HuckFinn.json,35,0.0,-0.012598425196850394
2011-05-03-HuckFinn.json,36,0.0,-0.011904761904761904
2011-05-03-HuckFinn.json,37,0.0,-0.01083815028901734
