edition_name,chapter_name,count_type,percent
adventureshuckle00twaiiala-HuckFinn.json,1,sentences,46.26865671641798
adventureshuckle00twaiiala-HuckFinn.json,2,sentences,46.511627906976976
adventureshuckle00twaiiala-HuckFinn.json,3,sentences,33.3333333333332
adventureshuckle00twaiiala-HuckFinn.json,4,sentences,55.68181818181809
adventureshuckle00twaiiala-HuckFinn.json,5,sentences,34.999999999999815
adventureshuckle00twaiiala-HuckFinn.json,6,sentences,38.97058823529419
adventureshuckle00twaiiala-HuckFinn.json,7,sentences,43.07692307692295
adventureshuckle00twaiiala-HuckFinn.json,8,sentences,39.622641509433834
adventureshuckle00twaiiala-HuckFinn.json,9,sentences,49.315068493150626
adventureshuckle00twaiiala-HuckFinn.json,10,sentences,50.000000000000114
adventureshuckle00twaiiala-HuckFinn.json,11,sentences,37.209302325581525
adventureshuckle00twaiiala-HuckFinn.json,12,sentences,34.02777777777793
adventureshuckle00twaiiala-HuckFinn.json,13,sentences,29.0
adventureshuckle00twaiiala-HuckFinn.json,14,sentences,26.53061224489805
adventureshuckle00twaiiala-HuckFinn.json,15,sentences,34.745762711864444
adventureshuckle00twaiiala-HuckFinn.json,16,sentences,17.256637168142532
adventureshuckle00twaiiala-HuckFinn.json,17,sentences,35.76158940397365
adventureshuckle00twaiiala-HuckFinn.json,18,sentences,32.075471698113034
adventureshuckle00twaiiala-HuckFinn.json,19,sentences,18.96551724137953
adventureshuckle00twaiiala-HuckFinn.json,20,sentences,22.5563909774435
adventureshuckle00twaiiala-HuckFinn.json,21,sentences,25.1968503937006
adventureshuckle00twaiiala-HuckFinn.json,22,sentences,20.987654320987563
adventureshuckle00twaiiala-HuckFinn.json,23,sentences,34.61538461538484
adventureshuckle00twaiiala-HuckFinn.json,24,sentences,32.0
adventureshuckle00twaiiala-HuckFinn.json,25,sentences,17.11711711711687
adventureshuckle00twaiiala-HuckFinn.json,26,sentences,23.456790123457083
adventureshuckle00twaiiala-HuckFinn.json,27,sentences,20.192307692307566
adventureshuckle00twaiiala-HuckFinn.json,28,sentences,15.09433962264124
adventureshuckle00twaiiala-HuckFinn.json,29,sentences,23.026315789473557
adventureshuckle00twaiiala-HuckFinn.json,30,sentences,5.6603773584905355
adventureshuckle00twaiiala-HuckFinn.json,31,sentences,31.481481481481786
adventureshuckle00twaiiala-HuckFinn.json,32,sentences,22.330097087378782
adventureshuckle00twaiiala-HuckFinn.json,33,sentences,21.53846153846144
adventureshuckle00twaiiala-HuckFinn.json,34,sentences,25.454545454545638
adventureshuckle00twaiiala-HuckFinn.json,35,sentences,21.36150234741818
adventureshuckle00twaiiala-HuckFinn.json,36,sentences,27.777777777777587
adventureshuckle00twaiiala-HuckFinn.json,37,sentences,14.942528735632123
adventureshuckle00twaiiala-HuckFinn.json,38,sentences,31.20000000000024
adventureshuckle00twaiiala-HuckFinn.json,39,sentences,32.92682926829272
adventureshuckle00twaiiala-HuckFinn.json,40,sentences,7.8947368421053365
adventureshuckle00twaiiala-HuckFinn.json,41,sentences,12.631578947368304
adventureshuckle00twaiiala-HuckFinn.json,42,sentences,26.9565217391307
adventureshuckle00twaiiala-HuckFinn.json,43,sentences,9.523809523809557
adventureshuckle00twaiiala-HuckFinn.json,1,words,86.82860001097846
adventureshuckle00twaiiala-HuckFinn.json,2,words,80.99090244360796
adventureshuckle00twaiiala-HuckFinn.json,3,words,81.71330682859613
adventureshuckle00twaiiala-HuckFinn.json,4,words,81.2546841734816
adventureshuckle00twaiiala-HuckFinn.json,5,words,75.42961233952663
adventureshuckle00twaiiala-HuckFinn.json,6,words,82.69862525675818
adventureshuckle00twaiiala-HuckFinn.json,7,words,84.81729828886203
adventureshuckle00twaiiala-HuckFinn.json,8,words,73.75301891645147
adventureshuckle00twaiiala-HuckFinn.json,9,words,85.50338209847457
adventureshuckle00twaiiala-HuckFinn.json,10,words,86.95841786805997
adventureshuckle00twaiiala-HuckFinn.json,11,words,76.79677369593352
adventureshuckle00twaiiala-HuckFinn.json,12,words,77.86176751402397
adventureshuckle00twaiiala-HuckFinn.json,13,words,75.18595452510188
adventureshuckle00twaiiala-HuckFinn.json,14,words,66.90331090885104
adventureshuckle00twaiiala-HuckFinn.json,15,words,79.51593860684675
adventureshuckle00twaiiala-HuckFinn.json,16,words,29.232630336099753
adventureshuckle00twaiiala-HuckFinn.json,17,words,78.00923546876662
